index,Duration (in seconds),Finished,Consent1,Consent2,Consent3,Demo_age,Demo_gender,Q1_ADD1,Timing1_ADD1_First Click,Timing1_ADD1_Last Click,Timing1_ADD1_Page Submit,Timing1_ADD1_Click Count,Q2_ADD1,Timing2_ADD1_First Click,Timing2_ADD1_Last Click,Timing2_ADD1_Page Submit,Timing2_ADD1_Click Count,Q1_ADD2,Timing1_ADD2_First Click,Timing1_ADD2_Last Click,Timing1_ADD2_Page Submit,Timing1_ADD2_Click Count,Q2_ADD2,Timing2_ADD2_First Click,Timing2_ADD2_Last Click,Timing2_ADD2_Page Submit,Timing2_ADD2_Click Count,Q1_ADD3,Timing1_ADD3_First Click,Timing1_ADD3_Last Click,Timing1_ADD3_Page Submit,Timing1_ADD3_Click Count,Q2_ADD3,Timing2_ADD3_First Click,Timing2_ADD3_Last Click,Timing2_ADD3_Page Submit,Timing2_ADD3_Click Count,Q1_ADD4,Timing1_ADD4_First Click,Timing1_ADD4_Last Click,Timing1_ADD4_Page Submit,Timing1_ADD4_Click Count,AttCheck1_ADD,Q2_ADD4,Timing2_ADD4_First Click,Timing2_ADD4_Last Click,Timing2_ADD4_Page Submit,Timing2_ADD4_Click Count,Q1_ADD5,Timing1_ADD5_First Click,Timing1_ADD5_Last Click,Timing1_ADD5_Page Submit,Timing1_ADD5_Click Count,Q2_ADD5,Timing2_ADD5_First Click,Timing2_ADD5_Last Click,Timing2_ADD5_Page Submit,Timing2_ADD5_Click Count,Q1_ADD6,Timing1_ADD6_First Click,Timing1_ADD6_Last Click,Timing1_ADD6_Page Submit,Timing1_ADD6_Click Count,Q2_ADD6,Timing2_ADD6_First Click,Timing2_ADD6_Last Click,Timing2_ADD6_Page Submit,Timing2_ADD6_Click Count,Q1_LMS1,Timing1_LMS1_First Click,Timing1_LMS1_Last Click,Timing1_LMS1_Page Submit,Timing1_LMS1_Click Count,Q2_LMS1,Timing2_LMS1_First Click,Timing2_LMS1_Last Click,Timing2_LMS1_Page Submit,Timing2_LMS1_Click Count,Q1_LMS2,Timing1_LMS2_First Click,Timing1_LMS2_Last Click,Timing1_LMS2_Page Submit,Timing1_LMS2_Click Count,Q2_LMS2,Timing2_LMS2_First Click,Timing2_LMS2_Last Click,Timing2_LMS2_Page Submit,Timing2_LMS2_Click Count,Q1_LMS3,Timing1_LMS3_First Click,Timing1_LMS3_Last Click,Timing1_LMS3_Page Submit,Timing1_LMS3_Click Count,Q2_LMS3,Timing2_LMS3_First Click,Timing2_LMS3_Last Click,Timing2_LMS3_Page Submit,Timing2_LMS3_Click Count,Q1_LMS4,Timing1_LMS4_First Click,Timing1_LMS4_Last Click,Timing1_LMS4_Page Submit,Timing1_LMS4_Click Count,AttCheck1_LMS,Q2_LMS4,Timing2_LMS4_First Click,Timing2_LMS4_Last Click,Timing2_LMS4_Page Submit,Timing2_LMS4_Click Count,Q1_LMS5,Timing1_LMS5_First Click,Timing1_LMS5_Last Click,Timing1_LMS5_Page Submit,Timing1_LMS5_Click Count,Q2_LMS5,Timing2_LMS5_First Click,Timing2_LMS5_Last Click,Timing2_LMS5_Page Submit,Timing2_LMS5_Click Count,Q1_LMS6,Timing1_LMS6_First Click,Timing1_LMS6_Last Click,Timing1_LMS6_Page Submit,Timing1_LMS6_Click Count,Q2_LMS6,Timing2_LMS6_First Click,Timing2_LMS6_Last Click,Timing2_LMS6_Page Submit,Timing2_LMS6_Click Count,Q1_APP1,Timing1_APP1_First Click,Timing1_APP1_Last Click,Timing1_APP1_Page Submit,Timing1_APP1_Click Count,Q2_APP1,Timing2_APP1_First Click,Timing2_APP1_Last Click,Timing2_APP1_Page Submit,Timing2_APP1_Click Count,Q1_APP2,Timing1_APP2_First Click,Timing1_APP2_Last Click,Timing1_APP2_Page Submit,Timing1_APP2_Click Count,Q2_APP2,Timing2_APP2_First Click,Timing2_APP2_Last Click,Timing2_APP2_Page Submit,Timing2_APP2_Click Count,Q1_APP3,Timing1_APP3_First Click,Timing1_APP3_Last Click,Timing1_APP3_Page Submit,Timing1_APP3_Click Count,Q2_APP3,Timing2_APP3_First Click,Timing2_APP3_Last Click,Timing2_APP3_Page Submit,Timing2_APP3_Click Count,Q1_APP4,Timing1_APP4_First Click,Timing1_APP4_Last Click,Timing1_APP4_Page Submit,Timing1_APP4_Click Count,AttCheck1_APP,Q2_APP4,Timing2_APP4_First Click,Timing2_APP4_Last Click,Timing2_APP4_Page Submit,Timing2_APP4_Click Count,Q1_APP5,Timing1_APP5_First Click,Timing1_APP5_Last Click,Timing1_APP5_Page Submit,Timing1_APP5_Click Count,Q2_APP5,Timing2_APP5_First Click,Timing2_APP5_Last Click,Timing2_APP5_Page Submit,Timing2_APP5_Click Count,Q1_APP6,Timing1_APP6_First Click,Timing1_APP6_Last Click,Timing1_APP6_Page Submit,Timing1_APP6_Click Count,Q2_APP6,Timing2_APP6_First Click,Timing2_APP6_Last Click,Timing2_APP6_Page Submit,Timing2_APP6_Click Count,subj_preobj_Q1,subj_preobj_Q2,Timing_subj_preobj_First Click,Timing_subj_preobj_Last Click,Timing_subj_preobj_Page Submit,Timing_subj_preobj_Click Count,modsim_ADD7,Timing_ADD7_First Click,Timing_ADD7_Last Click,Timing_ADD7_Page Submit,Timing_ADD7_Click Count,modsim_ADD8,Timing_ADD8_First Click,Timing_ADD8_Last Click,Timing_ADD8_Page Submit,Timing_ADD8_Click Count,countfac_ADD9,AttCheck2_ADD,Timing_ADD9_First Click,Timing_ADD9_Last Click,Timing_ADD9_Page Submit,Timing_ADD9_Click Count,countfac_ADD10,Timing_ADD10_First Click,Timing_ADD10_Last Click,Timing_ADD10_Page Submit,Timing_ADD10_Click Count,error_ADD11,Timing_ADD11_First Click,Timing_ADD11_Last Click,Timing_ADD11_Page Submit,Timing_ADD11_Click Count,error_ADD12,Timing_ADD12_First Click,Timing_ADD12_Last Click,Timing_ADD12_Page Submit,Timing_ADD12_Click Count,modsim_LMS7,Timing_LMS7_First Click,Timing_LMS7_Last Click,Timing_LMS7_Page Submit,Timing_LMS7_Click Count,modsim_LMS8,Timing_LMS8_First Click,Timing_LMS8_Last Click,Timing_LMS8_Page Submit,Timing_LMS8_Click Count,countfac_LMS9,AttCheck2_LMS,Timing_LMS9_First Click,Timing_LMS9_Last Click,Timing_LMS9_Page Submit,Timing_LMS9_Click Count,countfac_LMS10,Timing_LMS10_First Click,Timing_LMS10_Last Click,Timing_LMS10_Page Submit,Timing_LMS10_Click Count,error_LMS11,Timing_LMS11_First Click,Timing_LMS11_Last Click,Timing_LMS11_Page Submit,Timing_LMS11_Click Count,error_LMS12,Timing_LMS12_First Click,Timing_LMS12_Last Click,Timing_LMS12_Page Submit,Timing_LMS12_Click Count,modsim_APP7,Timing_APP7_First Click,Timing_APP7_Last Click,Timing_APP7_Page Submit,Timing_APP7_Click Count,modsim_APP8,Timing_APP8_First Click,Timing_APP8_Last Click,Timing_APP8_Page Submit,Timing_APP8_Click Count,countfac_APP9,AttCheck2_APP,Timing_APP9_First Click,Timing_APP9_Last Click,Timing_APP9_Page Submit,Timing_APP9_Click Count,countfac_APP10,Timing_APP10_First Click,Timing_APP10_Last Click,Timing_APP10_Page Submit,Timing_APP10_Click Count,error_APP11,Timing_APP11_First Click,Timing_APP11_Last Click,Timing_APP11_Page Submit,Timing_APP11_Click Count,error_APP12,Timing_APP12_First Click,Timing_APP12_Last Click,Timing_APP12_Page Submit,Timing_APP12_Click Count,Subj_postobj_Q1,Subj_postobj_Q2,Timing_subj_postobj_First Click,Timing_subj_postobj_Last Click,Timing_subj_postobj_Page Submit,Timing_subj_postobj_Click Count,timing_explain_ADD_First Click,timing_explain_ADD_Last Click,timing_explain_ADD_Page Submit,timing_explain_ADD_Click Count,timing_explain_LMS_First Click,timing_explain_LMS_Last Click,timing_explain_LMS_Page Submit,timing_explain_LMS_Click Count,timing_explain_APP_First Click,timing_explain_APP_Last Click,timing_explain_APP_Page Submit,timing_explain_APP_Click Count,Agg,Exp
15,461,1,1,1,1,1,2,6.0,2.977,32.002,32.45,36.0,5.0,0.848,3.05,3.73,5.0,5.0,0.0,0.0,0.324,0.0,4.0,0.375,3.146,5.86,4.0,5.0,0.339,13.972,15.076,8.0,4.0,0.48,4.8,5.554,6.0,4.0,0.669,1.867,2.578,3.0,4.0,2.0,0.351,7.543,8.075,7.0,5.0,0.505,4.565,5.205,6.0,7.0,0.424,5.538,6.233,10.0,5.0,0.755,1.839,2.705,2.0,4.0,0.549,3.525,5.515,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,1.984,6.579,11.093,4,6.0,3.468,5.486,6.791,4.0,6.0,0.843,1.747,2.804,3.0,2.0,2.0,0.757,12.271,12.881,7.0,3.0,0.637,12.91,13.465,6.0,1.0,1.188,5.721,7.275,3.0,1.0,1.595,3.263,5.692,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5.628,8.747,16.101,6,2.001,44.433,59.376,20.0,,,,,,,,,ADD,Graph_expl
17,755,1,1,1,1,1,1,7.0,120.95,129.074,131.921,2.0,1.0,37.329,37.329,39.494,1.0,4.0,7.441,7.441,14.176,1.0,5.0,22.126,22.126,24.72,1.0,2.0,19.342,19.342,22.277,1.0,2.0,8.443,8.443,13.546,1.0,3.0,30.123,30.123,33.211,1.0,4.0,4.0,8.429,15.945,24.201,3.0,3.0,11.599,11.599,14.405,1.0,5.0,13.809,13.809,20.601,1.0,5.0,11.977,11.977,15.541,1.0,5.0,5.044,5.044,9.883,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4.344,7.25,10.159,2,6.0,51.499,51.499,55.453,1.0,5.0,8.509,8.509,10.565,1.0,3.0,2.0,39.21,44.634,47.218,2.0,3.0,4.941,4.941,11.877,1.0,2.0,16.367,16.367,18.289,1.0,2.0,23.934,23.934,27.973,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,7.065,12.346,14.785,2,9.118,29.145,30.251,2.0,,,,,,,,,ADD,Graph_expl
18,599,1,1,1,1,1,2,3.0,47.248,47.248,49.008,1.0,3.0,12.861,12.861,14.243,1.0,5.0,16.837,16.837,17.979,1.0,5.0,1.767,1.767,24.209,1.0,5.0,0.914,7.9,9.001,2.0,5.0,2.716,2.716,11.173,1.0,7.0,2.764,2.764,5.822,1.0,4.0,7.0,14.543,16.314,17.366,2.0,5.0,3.741,3.741,5.173,1.0,1.0,6.866,6.866,11.041,1.0,4.0,1.393,1.393,2.366,1.0,2.0,2.586,2.586,4.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2.122,4.474,5.331,3,3.0,21.014,21.014,22.405,1.0,1.0,27.802,28.3,29.331,2.0,2.0,2.0,37.6,45.125,47.021,2.0,3.0,2.387,2.387,5.557,1.0,1.0,4.592,4.592,22.458,1.0,2.0,2.187,2.187,3.903,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2.247,3.339,4.761,2,153.13,153.13,201.67,1.0,,,,,,,,,ADD,Graph_expl
19,500,1,1,1,1,3,2,1.0,47.074,47.074,48.256,1.0,1.0,11.386,11.386,14.573,1.0,4.0,24.334,24.334,25.309,1.0,4.0,9.317,9.317,12.107,1.0,4.0,18.927,18.927,19.649,1.0,4.0,5.138,5.138,6.454,1.0,3.0,29.016,29.016,29.762,1.0,4.0,3.0,4.157,9.545,10.969,2.0,1.0,23.622,23.622,24.384,1.0,1.0,2.994,2.994,3.769,1.0,2.0,14.636,14.636,16.068,1.0,2.0,3.012,3.012,4.768,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3.676,6.248,7.3,2,6.0,21.624,21.624,22.926,1.0,3.0,26.429,26.429,27.901,1.0,2.0,2.0,18.131,83.29,86.296,5.0,3.0,3.97,3.97,5.463,1.0,2.0,18.959,18.959,22.225,1.0,2.0,6.48,6.48,8.274,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1.852,3.007,4.092,2,13.867,13.867,24.295,1.0,,,,,,,,,ADD,Graph_expl
21,704,1,1,1,1,3,1,4.0,87.931,114.26,115.281,2.0,1.0,26.529,26.529,34.564,1.0,5.0,25.59,25.59,26.932,1.0,5.0,3.712,3.712,5.321,1.0,5.0,16.158,16.158,17.938,1.0,5.0,4.984,4.984,6.364,1.0,7.0,19.86,19.86,20.939,1.0,4.0,7.0,6.994,10.076,11.594,2.0,1.0,10.589,11.132,12.311,2.0,1.0,4.2,4.2,5.428,1.0,2.0,9.576,9.576,10.694,1.0,2.0,1.816,1.816,3.331,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,2.917,5.027,8.4,3,3.0,32.394,32.394,33.903,1.0,1.0,61.966,61.966,63.246,1.0,2.0,2.0,24.983,44.461,48.361,2.0,3.0,45.302,45.302,46.547,1.0,1.0,9.13,9.13,25.441,1.0,2.0,16.778,16.778,17.675,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,2.382,3.417,4.422,2,19.243,19.243,51.003,1.0,,,,,,,,,ADD,Graph_expl
22,1029,1,1,1,1,2,1,1.0,66.511,68.171,71.441,2.0,1.0,15.739,17.452,20.065,2.0,5.0,46.134,46.134,47.829,1.0,5.0,3.02,3.02,4.477,1.0,5.0,77.979,77.979,79.378,1.0,5.0,3.817,3.817,5.051,1.0,4.0,20.088,20.088,21.168,1.0,4.0,7.0,5.739,11.552,12.777,3.0,1.0,510.851,510.851,511.844,1.0,1.0,5.201,5.201,6.577,1.0,2.0,17.524,17.908,20.282,2.0,2.0,2.697,3.486,4.403,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,1.876,4.175,5.057,2,3.0,22.835,23.61,24.596,2.0,3.0,7.157,7.796,8.715,2.0,3.0,2.0,27.157,32.037,33.843,2.0,2.0,5.553,5.553,7.011,1.0,1.0,14.3,14.3,16.208,1.0,2.0,22.151,22.151,23.341,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,1.812,3.152,4.642,2,21.62,21.62,58.183,1.0,,,,,,,,,ADD,Graph_expl
23,952,1,1,1,1,2,2,1.0,74.154,74.154,75.343,1.0,3.0,16.878,52.962,54.03,4.0,5.0,41.572,41.572,42.504,1.0,4.0,17.674,17.674,18.736,1.0,5.0,24.762,24.762,25.924,1.0,4.0,11.617,11.617,12.694,1.0,7.0,27.919,27.919,28.925,1.0,4.0,4.0,6.207,13.522,14.505,2.0,1.0,20.966,20.966,22.001,1.0,2.0,8.319,8.319,9.192,1.0,2.0,18.872,18.872,20.047,1.0,6.0,19.516,19.516,20.001,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3.345,4.606,6.63,2,3.0,57.797,57.797,58.979,1.0,1.0,10.745,35.386,36.553,2.0,2.0,2.0,88.488,115.253,116.57,5.0,3.0,84.944,84.944,85.989,1.0,1.0,44.251,44.251,45.091,1.0,2.0,27.632,27.632,28.373,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,2.857,4.396,5.188,2,38.084,46.601,145.99,3.0,,,,,,,,,ADD,Graph_expl
24,749,1,1,1,1,2,1,1.0,40.311,40.311,41.535,1.0,1.0,22.992,22.992,24.883,1.0,5.0,30.852,30.852,31.811,1.0,5.0,27.136,27.136,28.677,1.0,5.0,41.971,42.821,43.227,2.0,5.0,5.208,5.208,6.615,1.0,3.0,31.353,31.353,33.045,1.0,4.0,7.0,4.428,18.527,19.501,3.0,4.0,19.025,19.025,20.365,1.0,1.0,9.655,9.655,10.96,1.0,2.0,10.017,10.017,11.537,1.0,2.0,3.379,3.796,4.77,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2.907,5.506,6.414,2,1.0,10.988,10.988,11.767,1.0,3.0,28.084,28.084,29.325,1.0,3.0,2.0,11.462,17.829,18.854,2.0,2.0,16.84,16.84,19.414,1.0,1.0,29.434,29.434,30.502,1.0,2.0,24.678,24.678,26.035,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2.264,3.514,4.385,2,7.843,38.696,39.419,4.0,,,,,,,,,ADD,Graph_expl
25,700,1,1,1,1,1,1,3.0,77.28,77.28,78.813,1.0,1.0,12.965,12.965,14.07,1.0,5.0,32.061,32.061,33.632,1.0,5.0,4.576,4.576,5.883,1.0,5.0,21.421,21.421,23.017,1.0,5.0,3.47,3.47,4.938,1.0,4.0,28.548,28.548,37.187,1.0,4.0,7.0,17.47,19.336,20.585,2.0,1.0,25.21,25.21,27.264,1.0,1.0,3.483,3.483,5.515,1.0,2.0,23.841,23.841,24.839,1.0,2.0,4.663,4.663,6.118,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4.541,7.227,8.011,2,3.0,61.7,61.7,63.201,1.0,1.0,39.233,39.233,41.455,1.0,2.0,2.0,28.199,44.182,45.694,2.0,1.0,35.024,35.024,37.94,1.0,1.0,22.091,22.091,23.655,1.0,2.0,22.936,22.936,24.297,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2.173,4.082,4.981,2,33.201,56.524,59.852,2.0,,,,,,,,,ADD,Graph_expl
26,1356,1,1,1,1,2,1,1.0,97.392,111.554,112.801,4.0,3.0,46.986,54.263,55.402,3.0,5.0,21.318,66.081,67.246,3.0,4.0,32.949,45.209,46.428,5.0,5.0,5.817,41.985,43.078,4.0,4.0,19.447,23.508,24.74,3.0,7.0,3.301,43.145,44.204,4.0,4.0,4.0,8.794,40.985,43.007,8.0,1.0,3.681,38.725,40.238,3.0,2.0,9.813,11.264,12.402,2.0,2.0,34.554,38.841,40.121,3.0,6.0,16.237,21.134,22.545,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,9.45,15.239,16.479,3,3.0,6.407,48.753,50.171,5.0,1.0,8.116,45.675,47.067,3.0,4.0,2.0,49.649,122.43,123.675,6.0,4.0,10.072,11.735,24.337,2.0,1.0,24.291,73.852,79.603,3.0,2.0,10.198,35.687,36.739,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6.726,10.918,11.92,3,17.531,85.559,88.905,5.0,,,,,,,,,ADD,Graph_expl
